Length,Wire Guage,Color,Wire Label,DEVICE A,DEVICE B,A-LABEL,A-CONNECTOR,B-LABEL,B-CONNECTOR
,,,,,,,,,
70,16,blue,O0010,Counter,TB-2,L,F,L,F
70,16,blue/white,002-10A,Counter,TB-2,L,F,L,F
70,14,green/yellow,,Counter,Groundbar,,F,,F
70,16,blue,O0001,Running Light,TB-2,R,F,L,F
70,16,blue/white,002-10A,Running Light,TB-2,R,F,L,F
70,16,blue,002-11B,Hand/Auto selector,TB-2,R,F,L,F
2,16,blue,002-11B,Hand/Auto selector,Hand/Auto selector,,F,,F
70,16,blue,I0019,Hand/Auto selector,TB-2,R,F,L,F
70,16,blue,I0020,Hand/Auto selector,TB-2,R,F,L,F
70,16,blue,004-03B,E-Stop,TB-2,R,F,L,F
70,16,blue,004-02C,E-Stop,TB-2,R,F,L,F
70,16,blue,004-03C,E-Stop,TB-2,R,F,L,F
70,16,blue,004-02D,E-Stop,TB-2,R,F,L,F
10,12,green/yellow,,Door ground lug,Panel ground lug,,RL,,RL